Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
106,106,1-Aug,,TBR,"L,4-6",35,34,4,7,2,0,2,4,1,0,6,0,0,0,0,0,0,0,0.291,0.355,0.502,0.857,4,9,R,C.Archer(49)
107,107,2-Aug,,TBR,"L,0-3",34,30,0,5,2,0,0,0,3,0,4,0,1,0,1,3,2,0,0.29,0.354,0.5,0.854,7,11,R,A.Pruitt(65)
108,108,3-Aug,,TBR,"L,3-5",36,35,3,9,2,0,1,3,1,0,10,0,0,0,0,1,3,0,0.29,0.353,0.499,0.852,6,11,L,B.Snell(40)
109,109,4-Aug,,TOR,"W,16-7",47,40,16,18,5,0,5,16,7,0,1,0,0,0,0,2,0,0,0.292,0.355,0.504,0.859,7,9,R,C.Valdez(23)
110,110,5-Aug,,TOR,"L,3-4",37,34,3,5,1,0,2,3,3,0,11,0,0,0,0,0,0,1,0.29,0.354,0.503,0.856,4,10,R,M.Estrada(60)
111,111,6-Aug,,TOR,"W,7-6",44,41,7,16,2,1,0,7,2,0,9,0,0,1,1,1,0,0,0.291,0.354,0.502,0.857,11,9,R,M.Stroman(46)
112,112,8-Aug,@,CHW,"L,5-8",42,33,5,9,0,1,2,5,8,0,8,1,0,0,0,1,0,1,0.291,0.355,0.503,0.858,10,10,L,D.Holland(45)
113,113,9-Aug,@,CHW,"L,1-7",35,34,1,6,2,0,1,1,1,0,5,0,0,0,1,0,0,0,0.29,0.354,0.501,0.855,7,9,R,M.Gonzalez(71)
114,114,10-Aug,@,CHW,"L,2-3",44,42,2,12,1,0,1,2,1,0,7,1,0,0,1,2,1,1,0.29,0.353,0.5,0.853,9,11,L,C.Rodon(60)
115,115,11-Aug,@,TEX,"L,4-6",39,34,4,8,2,0,1,4,5,0,8,0,0,0,0,1,0,0,0.29,0.353,0.499,0.852,8,9,L,C.Hamels(74)
116,116,12-Aug,@,TEX,"L,3-8",37,29,3,4,1,0,0,3,6,0,4,2,0,0,1,1,1,0,0.289,0.353,0.496,0.849,7,9,R,T.Ross(46)
117,117,13-Aug,@,TEX,"W,2-1",34,31,2,6,1,0,1,2,2,0,4,1,0,0,0,1,0,0,0.288,0.352,0.495,0.847,5,9,R,A.Cashner(60)
118,118,14-Aug,@,ARI,"L,0-2",34,32,0,7,1,0,0,0,2,0,12,0,0,0,0,2,0,1,0.287,0.352,0.493,0.845,7,12,R,Z.Greinke(71)
119,119,15-Aug,@,ARI,"W,9-4",44,39,9,13,5,2,1,8,4,1,8,1,0,0,0,1,0,0,0.288,0.352,0.495,0.847,8,14,L,A.Banda(12)
120,120,16-Aug,,ARI,"W,9-5",41,37,9,16,1,0,2,8,2,0,5,0,0,2,1,2,2,0,0.289,0.353,0.496,0.849,8,9,R,T.Walker(34)
121,121,17-Aug,,ARI,"L,0-4",32,31,0,4,1,0,0,0,1,0,8,0,0,0,2,0,0,1,0.288,0.352,0.493,0.845,5,9,L,P.Corbin(82)
122,122,18-Aug,,OAK,"W,3-1",32,31,3,7,0,0,2,3,1,0,2,0,0,0,1,0,1,1,0.288,0.351,0.493,0.844,5,9,L,S.Manaea(49)
123,123,19-Aug,,OAK,"W,3-0",32,28,3,8,2,0,1,3,4,0,4,0,0,0,0,2,1,1,0.288,0.351,0.493,0.844,5,9,R,K.Graveman(52)
124,124,20-Aug,,OAK,"L,2-3",36,32,2,7,1,0,1,2,3,0,6,0,0,1,0,0,1,0,0.287,0.351,0.491,0.842,7,11,R,J.Cotton(57)
125,125,22-Aug,,WSN,"L,3-4",38,34,3,9,1,0,0,3,3,1,9,0,1,0,1,1,1,1,0.287,0.35,0.49,0.84,8,11,R,T.Roark(53)
126,126,23-Aug,,WSN,"W,6-1",39,33,6,10,2,1,3,6,5,1,2,0,0,1,0,0,1,0,0.287,0.351,0.491,0.842,9,9,R,E.Jackson(50)
127,127,24-Aug,,WSN,"L,4-5",42,40,4,9,3,0,1,4,2,0,11,0,0,0,0,2,0,0,0.286,0.35,0.49,0.84,5,11,R,S.Strasburg(72)
128,128,25-Aug,@,LAA,"W,2-1",35,35,2,8,1,0,1,1,0,0,8,0,0,0,0,0,0,0,0.286,0.349,0.489,0.838,6,10,R,P.Bridwell(62)
129,129,26-Aug,@,LAA,"L,6-7",38,36,6,8,2,0,2,4,2,0,6,0,0,0,1,0,1,0,0.285,0.348,0.489,0.837,5,9,L,T.Skaggs(38)
130,130,27-Aug,@,LAA,"W,7-5",38,34,7,9,0,1,1,7,4,1,9,0,0,0,0,0,0,0,0.285,0.348,0.488,0.837,4,9,R,R.Nolasco(46)
131,131,29-Aug,,TEX,"L,2-12",38,34,2,9,1,0,0,2,2,0,5,2,0,0,0,2,0,0,0.285,0.348,0.487,0.835,9,10,L,M.Perez(55)
132,132,30-Aug,,TEX,"L,1-8",32,31,1,4,1,0,0,1,0,0,6,0,0,1,1,0,0,0,0.284,0.347,0.485,0.832,4,10,R,A.Cashner(78)
133,133,31-Aug,,TEX,"W,5-1",33,30,5,9,0,0,1,5,2,0,6,1,0,0,0,2,3,0,0.284,0.347,0.484,0.831,4,10,R,N.Martinez(55)
134,134,Sep 2 (1),,NYM,"W,12-8",45,42,12,17,5,0,2,10,2,0,6,1,0,0,1,0,1,0,0.285,0.348,0.486,0.834,9,10,R,M.Harvey(15)
135,135,Sep 2 (2),,NYM,"W,4-1",34,30,4,9,1,0,0,4,2,0,8,1,0,1,0,1,2,0,0.285,0.348,0.485,0.833,6,10,R,S.Lugo(39)
136,136,3-Sep,,NYM,"W,8-6",38,32,8,11,3,0,2,8,3,0,1,1,1,1,1,0,4,1,0.286,0.348,0.486,0.834,6,9,R,C.Flexen(15)
137,137,4-Sep,@,SEA,"W,6-2",41,34,6,8,1,0,2,6,6,2,6,0,1,0,0,0,0,0,0.285,0.348,0.485,0.834,8,9,R,E.Ramirez(59)
138,138,5-Sep,@,SEA,"W,3-1",36,28,3,2,0,0,1,3,7,0,6,0,0,1,0,0,0,0,0.284,0.348,0.484,0.831,6,12,L,A.Miranda(67)
139,139,6-Sep,@,SEA,"W,5-3",39,36,5,9,4,0,1,5,3,0,5,0,0,0,1,0,0,1,0.284,0.347,0.483,0.831,7,13,R,A.Moore(59)
140,140,8-Sep,@,OAK,"L,8-9",41,36,8,11,3,0,3,8,4,1,7,1,0,0,0,2,1,0,0.284,0.348,0.484,0.832,6,12,R,J.Cotton(26)
141,141,Sep 9 (1),@,OAK,"L,1-11",34,30,1,5,2,0,0,1,4,0,11,0,0,0,0,1,0,0,0.283,0.347,0.483,0.83,6,10,R,D.Gossett(62)
142,142,Sep 9 (2),@,OAK,"L,4-11",37,32,4,7,1,0,1,4,4,0,5,0,0,1,2,2,0,1,0.283,0.347,0.482,0.829,6,10,R,D.Mengden(54)
143,143,10-Sep,@,OAK,"L,2-10",37,34,2,8,4,0,1,2,3,0,6,0,0,0,0,0,1,0,0.283,0.347,0.482,0.828,8,14,R,K.Graveman(59)
144,144,12-Sep,@,LAA,"W,1-0",32,32,1,6,1,0,0,1,0,0,7,0,0,0,0,1,0,0,0.282,0.346,0.48,0.826,4,10,R,G.Richards(59)
145,145,13-Sep,@,LAA,"L,1-9",30,28,1,5,1,0,0,1,1,0,6,0,0,1,0,2,0,0,0.281,0.345,0.479,0.823,2,13,L,T.Skaggs(75)
146,146,14-Sep,@,LAA,"W,5-2",38,35,5,10,4,0,0,5,2,0,2,0,0,1,0,0,0,0,0.281,0.345,0.478,0.823,6,11,R,R.Nolasco(56)
147,147,15-Sep,,SEA,"W,5-2",38,32,5,9,3,0,0,5,6,0,6,0,0,0,0,0,1,0,0.281,0.345,0.477,0.822,9,10,L,J.Paxton(32)
148,148,16-Sep,,SEA,"W,8-6",39,36,8,12,5,0,0,7,3,0,6,0,0,0,1,1,0,0,0.282,0.345,0.477,0.823,7,10,R,E.Ramirez(24)
149,149,17-Sep,,SEA,"W,7-1",38,37,7,12,2,0,4,7,1,0,4,0,0,0,1,0,0,0,0.282,0.345,0.479,0.824,7,9,R,A.Moore(39)
150,150,19-Sep,,CHW,"W,3-1",31,29,3,8,3,0,1,3,1,0,3,0,1,0,0,0,0,1,0.282,0.345,0.479,0.824,4,9,R,L.Giolito(54)
151,151,20-Sep,,CHW,"W,4-3",36,32,4,9,2,1,0,4,4,0,7,0,0,0,0,1,1,0,0.282,0.345,0.479,0.824,8,10,R,J.Shields(46)
