Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
116,116,12-Aug,@,NYY,"W,10-5",41,39,10,12,3,0,2,10,2,0,8,0,0,0,2,0,0,0,0.263,0.334,0.411,0.745,4,10,R,L.Severino(13)
117,117,13-Aug,@,NYY,"W,3-2",41,34,3,4,0,0,1,3,6,0,12,1,0,0,0,0,0,0,0.262,0.333,0.41,0.743,8,12,L,J.Montgomery(61)
118,118,14-Aug,,CLE,"L,3-7",38,36,3,8,2,0,3,3,2,0,15,0,0,0,1,0,0,1,0.262,0.333,0.411,0.744,8,9,R,T.Bauer(57)
119,119,15-Aug,,STL,"W,10-4",43,38,10,15,2,0,0,10,3,1,5,2,0,0,1,2,0,0,0.263,0.334,0.411,0.745,9,11,R,M.Leake(13)
120,120,16-Aug,,STL,"W,5-4",38,31,5,9,2,0,1,4,6,0,6,0,0,1,0,3,0,0,0.263,0.335,0.411,0.746,7,11,R,L.Lynn(52)
121,121,18-Aug,,NYY,"W,9-6",39,32,9,10,1,0,2,9,6,0,5,0,0,1,0,1,2,0,0.263,0.335,0.412,0.747,6,11,L,J.Montgomery(48)
122,122,19-Aug,,NYY,"L,3-4",36,34,3,6,2,0,1,3,2,1,11,0,0,0,0,0,0,1,0.263,0.334,0.412,0.746,6,11,L,C.Sabathia(59)
123,123,20-Aug,,NYY,"W,5-1",40,35,5,12,3,1,0,5,5,1,3,0,0,0,0,0,0,0,0.263,0.335,0.412,0.747,11,9,R,S.Gray(43)
124,124,21-Aug,@,CLE,"L,4-5",38,31,4,5,0,0,2,4,6,0,8,1,0,0,0,1,1,0,0.263,0.335,0.412,0.747,7,11,R,M.Clevinger(39)
125,125,22-Aug,@,CLE,"W,9-1",41,38,9,12,3,0,2,9,1,0,7,1,0,1,0,0,1,0,0.263,0.335,0.413,0.748,5,10,R,C.Carrasco(39)
