Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
140,140,7-Sep,@,CHW,"W,11-2",47,41,11,16,4,1,5,11,4,0,6,1,0,1,0,1,1,0,0.263,0.34,0.45,0.791,9,13,R,M.Pelfrey(19)
141,141,8-Sep,,BAL,"W,5-0",35,29,5,7,3,0,1,4,6,2,7,0,0,0,0,2,1,0,0.263,0.34,0.45,0.791,6,12,L,W.Miley(42)
142,142,9-Sep,,BAL,"W,4-2",35,33,4,9,3,0,1,4,1,0,8,1,0,0,0,0,1,0,0.263,0.34,0.45,0.791,7,10,R,G.Ynoa(40)
143,143,10-Sep,,BAL,"W,3-2",31,30,3,5,1,0,2,3,1,0,1,0,0,0,1,0,0,0,0.263,0.339,0.45,0.789,4,11,R,J.Hellickson(53)
144,144,11-Sep,,DET,"W,11-0",44,35,11,11,0,1,1,10,6,0,4,1,0,2,2,0,0,0,0.263,0.34,0.45,0.79,9,15,R,M.Jaye(19)
145,145,12-Sep,,DET,"W,2-0",36,32,2,9,1,0,1,1,4,1,7,0,0,0,0,1,0,0,0.263,0.34,0.45,0.79,10,12,L,M.Boyd(55)
146,146,13-Sep,,DET,"W,5-3",33,30,5,7,2,1,2,5,3,0,11,0,0,0,0,0,0,0,0.263,0.34,0.451,0.79,4,12,R,B.Farmer(42)
147,147,14-Sep,,KCR,"W,3-2",41,36,3,12,5,0,0,3,5,1,3,0,0,0,0,1,0,1,0.264,0.34,0.451,0.791,11,16,R,J.Junis(51)
148,148,15-Sep,,KCR,"L,3-4",37,30,3,6,2,0,1,3,6,0,8,0,0,1,0,2,1,0,0.263,0.34,0.45,0.79,7,13,L,J.Vargas(46)
149,149,16-Sep,,KCR,"W,8-4",38,34,8,13,2,0,1,7,2,0,3,0,0,2,0,2,1,0,0.264,0.341,0.451,0.791,6,11,R,J.Hammel(26)
150,150,17-Sep,,KCR,"W,3-2",32,29,3,3,0,0,1,3,2,0,8,1,0,0,2,0,0,0,0.263,0.34,0.449,0.789,5,11,L,D.Duffy(67)
151,151,19-Sep,@,LAA,"W,6-3",41,38,6,14,1,1,1,6,3,1,5,0,0,0,0,2,1,0,0.264,0.34,0.45,0.79,8,11,L,T.Skaggs(44)
152,152,20-Sep,@,LAA,"W,6-5",42,39,6,13,5,0,1,6,3,1,7,0,0,0,0,0,1,0,0.264,0.341,0.451,0.791,9,10,R,R.Nolasco(50)
153,153,21-Sep,@,LAA,"W,4-1",34,32,4,6,1,0,2,4,2,0,6,0,0,0,0,1,0,0,0.264,0.34,0.45,0.79,3,9,R,P.Bridwell(41)
154,154,22-Sep,@,SEA,"L,1-3",31,30,1,3,1,0,1,1,1,0,10,0,0,0,0,0,0,0,0.263,0.339,0.449,0.788,3,10,R,E.Ramirez(82)
155,155,23-Sep,@,SEA,"W,11-4",45,41,11,14,2,0,4,11,1,0,8,0,0,3,3,0,0,0,0.264,0.339,0.451,0.79,7,11,R,A.Moore(45)
156,156,24-Sep,@,SEA,"W,4-2",37,35,4,9,3,0,1,4,0,0,8,1,0,1,0,0,1,0,0.264,0.338,0.451,0.789,6,10,R,M.Leake(53)
157,157,26-Sep,,MIN,"L,6-8",39,36,6,11,1,0,1,6,2,0,6,0,0,1,0,0,0,0,0.264,0.338,0.451,0.789,6,11,R,B.Colon(40)
158,158,27-Sep,,MIN,"W,4-2",39,32,4,9,2,0,1,3,5,0,6,2,0,0,1,2,0,0,0.264,0.339,0.45,0.789,11,13,L,A.Mejia(43)
159,159,28-Sep,,MIN,"W,5-2",33,33,5,10,3,0,3,5,0,0,5,0,0,0,0,0,1,0,0.264,0.339,0.452,0.79,4,12,R,E.Santana(60)
160,160,29-Sep,,CHW,"W,10-1",43,33,10,9,5,0,1,9,9,0,6,1,0,0,1,1,1,0,0.264,0.339,0.452,0.792,9,15,R,M.Pelfrey(8)
161,161,30-Sep,,CHW,"L,1-2",34,29,1,3,0,0,0,1,4,0,7,1,0,0,0,1,1,0,0.263,0.339,0.45,0.789,6,15,R,C.Fulmer(57)
162,162,1-Oct,,CHW,"W,3-1",35,28,3,5,2,0,0,3,6,0,2,0,0,1,0,0,1,0,0.263,0.339,0.449,0.788,8,17,R,C.Volstad(52)
